type,symbol,confidence,timestamp
BUY,BAJAJFINSV,0.93,2025-10-03 11:33:07
BUY,CIPLA,0.9,2025-10-03 13:33:00
BUY,ULTRACEMCO,0.88,2025-10-03 11:33:07
SELL,RELIANCE,0.9300000071525574,2025-10-06 14:33:13
SELL,NESTLEIND,0.9300000071525574,2025-10-03 10:33:11
SELL,ASIANPAINT,0.9300000071525574,2025-10-03 14:33:08
BUY,BAJAJFINSV,0.93,2025-10-03 11:33:07
BUY,CIPLA,0.9,2025-10-03 13:33:00
BUY,ULTRACEMCO,0.88,2025-10-03 11:33:07
SELL,RELIANCE,0.9300000071525574,2025-10-06 14:33:13
SELL,NESTLEIND,0.9300000071525574,2025-10-03 10:33:11
SELL,ASIANPAINT,0.9300000071525574,2025-10-03 14:33:08
BUY,BAJAJFINSV,0.93,2025-10-03 11:33:07
BUY,CIPLA,0.9,2025-10-03 13:33:00
BUY,ULTRACEMCO,0.88,2025-10-03 11:33:07
SELL,RELIANCE,0.9300000071525574,2025-10-06 14:33:13
SELL,NESTLEIND,0.9300000071525574,2025-10-03 10:33:11
SELL,ASIANPAINT,0.9300000071525574,2025-10-03 14:33:08
BUY,BAJAJFINSV,0.93,2025-10-03 11:33:07
BUY,CIPLA,0.9,2025-10-03 13:33:00
BUY,ULTRACEMCO,0.88,2025-10-03 11:33:07
SELL,RELIANCE,0.9300000071525574,2025-10-06 14:33:13
SELL,NESTLEIND,0.9300000071525574,2025-10-03 10:33:11
SELL,ASIANPAINT,0.9300000071525574,2025-10-03 14:33:08
BUY,BAJAJFINSV,0.93,2025-10-03 11:33:07
BUY,CIPLA,0.9,2025-10-03 13:33:00
BUY,ULTRACEMCO,0.88,2025-10-03 11:33:07
SELL,RELIANCE,0.9300000071525574,2025-10-06 14:33:13
SELL,NESTLEIND,0.9300000071525574,2025-10-03 10:33:11
SELL,ASIANPAINT,0.9300000071525574,2025-10-03 14:33:08
BUY,BAJAJFINSV,0.93,2025-10-03 11:33:07
BUY,CIPLA,0.9,2025-10-03 13:33:00
BUY,ULTRACEMCO,0.88,2025-10-03 11:33:07
SELL,RELIANCE,0.9300000071525574,2025-10-06 14:33:13
SELL,NESTLEIND,0.9300000071525574,2025-10-03 10:33:11
SELL,ASIANPAINT,0.9300000071525574,2025-10-03 14:33:08
BUY,BAJAJFINSV,0.93,2025-10-03 11:33:07
BUY,CIPLA,0.9,2025-10-03 13:33:00
BUY,ULTRACEMCO,0.88,2025-10-03 11:33:07
SELL,RELIANCE,0.9300000071525574,2025-10-06 14:33:13
SELL,NESTLEIND,0.9300000071525574,2025-10-03 10:33:11
SELL,ASIANPAINT,0.9300000071525574,2025-10-03 14:33:08
BUY,BAJAJFINSV,0.93,2025-10-03 11:33:07
BUY,CIPLA,0.9,2025-10-03 13:33:00
BUY,ULTRACEMCO,0.88,2025-10-03 11:33:07
SELL,RELIANCE,0.9300000071525574,2025-10-06 14:33:13
SELL,NESTLEIND,0.9300000071525574,2025-10-03 10:33:11
SELL,ASIANPAINT,0.9300000071525574,2025-10-03 14:33:08
BUY,BAJAJFINSV,0.93,2025-10-03 11:33:07
BUY,CIPLA,0.9,2025-10-03 13:33:00
BUY,ULTRACEMCO,0.88,2025-10-03 11:33:07
SELL,RELIANCE,0.9300000071525574,2025-10-06 14:33:13
SELL,NESTLEIND,0.9300000071525574,2025-10-03 10:33:11
SELL,ASIANPAINT,0.9300000071525574,2025-10-03 14:33:08
BUY,BAJAJFINSV,0.93,2025-10-03 11:33:07
BUY,CIPLA,0.9,2025-10-03 13:33:00
BUY,ULTRACEMCO,0.88,2025-10-03 11:33:07
SELL,RELIANCE,0.9300000071525574,2025-10-06 14:33:13
SELL,NESTLEIND,0.9300000071525574,2025-10-03 10:33:11
SELL,ASIANPAINT,0.9300000071525574,2025-10-03 14:33:08
